name_launch;type_launch;long_launch;lat_launch;name_target;type_target;long_target;lat_target
Montana;western silo;-110;47;Moscow;eastern target;38;56
Montana;western silo;-110;47;Ekaterinburg;eastern target;61;57
Montana;western silo;-110;47;Kazan;eastern target;49;56
Montana;western silo;-110;47;Shanghai;eastern target;121;31
Montana;western silo;-110;47;Zhumadian;eastern target;114;33
Montana;western silo;-110;47;Beijing;eastern target;116;40
Kings Bay;western silo;-82;31;Caracas;eastern target;-67;10
Kings Bay;western silo;-82;31;La Habana;eastern target;-82;23
Kings Bay;western silo;-82;31;Krasnoyarsk;eastern target;93;56
Kings Bay;western silo;-82;31;Vladivostok;eastern target;132;43
Kings Bay;western silo;-82;31;Pionyang;eastern target;126;39
Kirtland;western silo;-107;35;Saint Petersburg;eastern target;30;60
Kirtland;western silo;-107;35;Novosibirsk;eastern target;83;55
Kirtland;western silo;-107;35;Krasnoyarsk;eastern target;93;56
Kirtland;western silo;-107;35;Beijing;eastern target;116;40
Barents Sea;western submarine;40;74;Crimea;eastern target;34;45
Barents Sea;western submarine;40;74;Novgorod;eastern target;31;59
Barents Sea;western submarine;40;74;Samara;eastern target;50;53
Philippines Sea;western submarine;132;20;Omsk;eastern target;73;55
Philippines Sea;western submarine;132;20;Canton Shenzen;eastern target;113;23
Philippines Sea;western submarine;132;20;Tianjin;eastern target;117;39
Scotland;western silo;-3;57;Saint Petersburg;eastern target;30;60
Scotland;western silo;-3;57;Vladivostok;eastern target;132;43
Scotland;western silo;-3;57;Teheran;eastern target;51;36
Plateau d'Albion;western silo;5;44;Moscow;eastern target;38;56
Plateau d'Albion;western silo;5;44;Kabul;eastern target;69;35
Kostroma;eastern silo;47;66;Chicago;western target;-88;42
Kostroma;eastern silo;47;66;Houston;western target;-95;30
Kostroma;eastern silo;47;66;London;western target;-0,1;52
Kostroma;eastern silo;47;66;Los Angeles;western target;-118;34
Kostroma;eastern silo;47;66;Madrid;western target;-4;40
Kostroma;eastern silo;47;66;New York;western target;-74;41
Svobodnyy;eastern silo;128;51;New York;western target;-74;41
Svobodnyy;eastern silo;128;51;Paris;western target;2;49
Svobodnyy;eastern silo;128;51;Sydney;western target;151;-34
Gladkaya;eastern silo;95;57;Melbourne;western target;145;-38
Gladkaya;eastern silo;95;57;Mexico;western target;-99;19
Gladkaya;eastern silo;95;57;Montreal;western target;-74;46
Gladkaya;eastern silo;95;57;Munich;western target;12;48
Gladkaya;eastern silo;95;57;Chicago;western target;-88;42
Artic Sea;eastern submarine;150;77;New York;western target;-74;41
Artic Sea;eastern submarine;150;77;Toronto;western target;79;44
Artic Sea;eastern submarine;150;77;Vancouver;western target;-123;49
North Korea;eastern silo;128;41;Los Angeles;western target;-118;34
Norway Sea;eastern submarine;4;66;Amsterdam;western target;5;52
Norway Sea;eastern submarine;4;66;Berlin;western target;13;53
Norway Sea;eastern submarine;4;66;Rome;western target;12;42
Norway Sea;eastern submarine;4;66;Stockholm;western target;18;59
Ordos;eastern silo;110;40;Sao Paulo;western target;-47;-24
Ordos;eastern silo;110;40;Taiwan;western target;121;24
Ordos;eastern silo;110;40;London;western target;-0,1;52
Ordos;eastern silo;110;40;Buenos Aires;western target;-59;-35
